area;ciudad;conglomerado;panelm;vivienda;hogar;vi01;vi02;vi03a;vi03b;vi04a;vi04b;vi05a;vi05b;vi06;vi07;vi07a;vi07b;vi08;vi09;vi09a;vi09b;vi10;vi101;vi102;vi10a;vi11;vi12;vi13;vi14;vi141;vi142;vi143;vi144;vi1511;vi1521;vi1512;vi1522;vi1531;vi1541;vi1532;vi1542;vi1533;vi1543;vi1534;vi1544;vi1535;vi1545;vi1536;vi1546;eqt19a011;eqt19a021;eqt19a012;eqt19a022;eqt19a013;eqt19a023;eqt19a014;eqt19a024;eqt19a015;eqt19a025;eqt19a016;eqt19a026;vi20;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;180150;006603;065;05;1;1;2;1;1;2;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;120;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;1;1;1;1;1;1;2913;34,4531003303409;180150006603;18015000660306505;180150006603065051;202507
1;180150;006603;065;06;1;1;1;3;2;4;1;4;2;7;5;0;1;1;1; ; ;1; ; ;1;1;1;2;4;120; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ;2; ;1;5;1;5;1;1;1;2913;34,4531003303409;180150006603;18015000660306506;180150006603065061;202507
1;180150;006603;065;09;1;1;1;2;1;4;1;1;1;6;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;100; ; ; ;2; ;1;1;2; ;1;10;2; ;2; ;2; ;2; ;1;1;2; ;2; ;1;4;1;4;2; ;1;2913;34,4531003303409;180150006603;18015000660306509;180150006603065091;202507
1;180150;007302;068;01;1;1;2;1;1;2;1;1;1;2;1;0;1;1;1; ; ;1; ; ;1;1;1;2;4;100; ; ; ;1;1;2; ;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;1;2; ;2; ;2;2913;68,5849046492957;180150007302;18015000730206801;180150007302068011;202507
1;180150;007302;068;03;1;1;2;1;1;1;1;1;1;4;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;150;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ;2; ;1;3;1;3;2; ;1;2913;68,5849046492957;180150007302;18015000730206803;180150007302068031;202507
1;180150;007302;068;04;1;1;2;1;1;1;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;100;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ;2; ;1;3;1;3;1;1;1;2913;68,5849046492957;180150007302;18015000730206804;180150007302068041;202507
1;180150;007302;068;05;1;1;2;1;1;1;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;100;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;1;1;1;2; ;2;2913;68,5849046492957;180150007302;18015000730206805;180150007302068051;202507
1;180150;007302;068;06;1;1;2;1;1;1;1;1;1;4;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;195;2;2;2;1;1;2; ;2; ;2; ;1;80;2; ;2; ;2; ;1;2;2; ;2; ;1;2;1;2;2; ;2;2913;68,5849046492957;180150007302;18015000730206806;180150007302068061;202507
1;180150;007302;068;07;1;1;1;1;1;1;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;2;2; ;2; ;2;2913;68,5849046492957;180150007302;18015000730206807;180150007302068071;202507
1;180150;007302;068;08;1;1;1;3;1;1;2;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;100; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;1;1;1;2; ;2;2913;68,5849046492957;180150007302;18015000730206808;180150007302068081;202507
1;180150;007404;071;03;1;1;2;3;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;180;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ;2; ;1;2;1;2;1;1;1;2912;72,0736045590322;180150007404;18015000740407103;180150007404071031;202507
1;180150;007404;071;07;1;1;2;1;2;2;1;1;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;1;1;2; ;2; ;1;40;2; ;2; ;2; ;2; ;1;1;1;1;2; ;1;2;1;2;1;2;1;2912;72,0736045590322;180150007404;18015000740407107;180150007404071071;202507
1;180150;007404;071;08;1;1;2;1;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;150; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;2;1;2;2; ;1;2912;72,0736045590322;180150007404;18015000740407108;180150007404071081;202507
1;180150;007404;071;09;1;1;2;1;1;1;1;1;1;4;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;150; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ;1;1;1;2;1;2;1;1;1;2912;72,0736045590322;180150007404;18015000740407109;180150007404071091;202507
1;180150;007901;071;02;1;1;1;2;1;1;1;1;1;5;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;300;2;2;1;1;1;2; ;2; ;1;80;2; ;2; ;2; ;2; ;1;2;2; ;2; ;1;2;1;2;1;1;1;2911;152,945256862107;180150007901;18015000790107102;180150007901071021;202507
1;180150;007901;071;03;1;1;1;1;1;1;1;1;1;6;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;400; ; ; ;1;1;2; ;2; ;1;80;2; ;2; ;2; ;2; ;1;2;2; ;2; ;1;2;1;2;1;2;1;2911;152,945256862107;180150007901;18015000790107103;180150007901071031;202507
1;180150;007901;071;06;1;1;2;2;1;2;1;1;1;1;1;0;1;1;1; ; ;1; ; ;1;1;1;2;1;130;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ;2; ;1;1;1;1;1;1;1;2911;152,945256862107;180150007901;18015000790107106;180150007901071061;202507
1;180150;007901;071;08;1;1;1;1;1;1;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;300; ; ; ;1;1;2; ;2; ;1;60;2; ;2; ;2; ;2; ;1;1;1;1;1;1;1;2;1;2;2; ;1;2911;152,945256862107;180150007901;18015000790107108;180150007901071081;202507
1;180150;007901;071;09;1;1;1;1;1;1;1;1;1;5;3;0;1;1;1; ; ;1; ; ;1;1;1;2;3;300; ; ; ;1;2;2; ;2; ;1;60;2; ;2; ;2; ;2; ;1;2;2; ;1;1;1;4;1;4;1;2;1;2911;152,945256862107;180150007901;18015000790107109;180150007901071091;202507
1;180150;008302;068;01;1;1;1;1;1;1;1;1;1;2;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;100; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;1;2; ;2; ;1;1;1;2913;126,675148029421;180150008302;18015000830206801;180150008302068011;202507
1;180150;008302;068;02;1;1;2;1;1;2;1;1;1;2;1;0;1;1;1; ; ;1; ; ;1;1;1;2;1;130;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ;2; ;1;1;1;1;1;1;2;2913;126,675148029421;180150008302;18015000830206802;180150008302068021;202507
1;180150;008302;068;03;1;1;2;1;1;1;1;1;1;7;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;300; ; ; ;1;1;2; ;2; ;2; ;1;30;2; ;2; ;2; ;1;1;2; ;1;1;1;4;1;4;1;1;1;2913;126,675148029421;180150008302;18015000830206803;180150008302068031;202507
1;180150;008302;068;04;1;1;4;3;2;2;2;1;2;1;1;0;2;4;1; ; ;1; ; ;2;3;1;2;5;60; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ;2; ;1;2;1;2;1;1;2;2913;126,675148029421;180150008302;18015000830206804;180150008302068041;202507
1;180150;008302;068;05;1;1;1;3;2;4;2;1;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;100; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;2;1;2;2; ;1;2913;126,675148029421;180150008302;18015000830206805;180150008302068051;202507
